producer,model,year,best_game
Commodore,C64,1982,The Last Ninja
Commodore,Amiga 500,1987,Lemmings
Atari,800,1979,Star Raiders
Atari,ST,1985,Dungeon Master
Nintendo,Famicom,1983,Super Mario Bros
Sinclair,ZX Spectrum,1982,Manic Miner
Apple,Apple II,1977,Prince of Persia
Tandy,TRS-80,1977,Zork
Amstrad,CPC 464,1984,Gryzor
BBC,Micro,1981,Elite
